,auction,author,title,medium,price,category,auction_house,painting_date,description,auction_date,image_source
0,eclectic,Andy Warhol,Joseph Beuys,Print,"$8,000 - $12,000",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959197075239.jpg
11,eclectic,Wayne Thiebaud,NEAPOLITAN PIE,Pastel and charcoal on lithograph,"$50,000 - $70,000",Works on paper,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959212272496.jpg
12,eclectic,Wayne Thiebaud,HAMBURGER,Graphite and ink on paper towel,"$10,000 - $15,000",Works on paper,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959212585702.jpg
13,eclectic,Tony Smith,UNTITLED,Ink on paper,"$8,000 - $12,000",Works on paper,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959212819520.jpg
14,eclectic,Richard Anuszkiewicz,BLACK DIAGONAL,Acrylic on panel,"$10,000 - $15,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959213086983.jpg
15,eclectic,Rodolfo Nieto,LA ESCALERA,Oil on canvas,"$40,000 - $60,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959213349551.jpg
16,eclectic,Manuel Pailos,LOCOMOTORA,Oil on cardboard laid down on board,"$3,000 - $4,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959213589990.jpg
17,eclectic,Gulam Rasool Santosh,UNTITLED,Oil and pencil on canvas laid on board,"$6,000 - $8,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959213860367.jpg
18,eclectic,Salvador Corratgé,LE NOIR,Acrylic on canvas,"$15,000 - $20,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959218633859.jpg
19,eclectic,Pedro Coronel,PIRÁMIDE DE SANGRE,Oil on canvas,"$100,000 - $200,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959219015235.jpg
20,eclectic,Francisco Matto,CONSTRUCTIVO EN COLORES PRIMARIOS (PROYECTO PARA MURAL EN EL HOSPITAL SAINT BOIS),Oil on cardboard,"$6,000 - $8,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959219256453.jpg
21,eclectic,Maurice Brianchon,NU AUX BAS ROUGES,Oil on canvas,"$15,000 - $20,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959219512767.jpg
22,eclectic,Gustav Klimt,SCHLAFENDES MÄDCHEN (SLEEPING GIRL),Crayon on paper,"$30,000 - $50,000",Works on paper,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959219776058.jpg
23,eclectic,José Clemente Orozco,FIGURA DE MUJER (DESNUDO),Brush and ink on paper,"$4,000 - $6,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959222434214.jpg
24,eclectic,Thomas Sully,PORTRAIT OF MARY MYERS HALE,Oil on canvas,"$5,000 - $7,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959223276583.jpg
25,eclectic,Willem de Kooning,SEATED MAN,Graphite on paper,"$10,000 - $15,000",Works on paper,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959224199157.jpg
26,eclectic,René Portocarrero,FLORA,Casein on board,"$15,000 - $20,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959224440206.jpg
27,eclectic,FRANCIS NEWTON SOUZA,UNTITLED (SET OF THREE),Ink on paper,"$2,000 - $3,000",Works on paper,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959224694556.jpg
28,eclectic,FRANCIS NEWTON SOUZA,UNTITLED (SET OF TWO),Crayon on paper,"$1,500 - $2,000",Works on paper,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959224915203.jpg
29,eclectic,Luciano Castelli,UNTITLED (NUDE STANDING),Gouache and charcoal on Fabriano paper,"$2,000 - $3,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959226199538.jpg
30,eclectic,Angela Strassheim,UNTITLED (THE SPANKING),Print chromogenic print,"$2,500 - $3,500",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959226511125.jpg
31,eclectic,Katy Grannan,"NICOLE, SUNNYDALE AVENUE (II)","Acrylic archival pigment print, mounted to acrylic","$6,000 - $9,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959233764426.jpg
32,eclectic,Avigdor Arikha,SLEEPING NUDE AND INDIAN RUG,Oil on canvas,"$40,000 - $60,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959234016142.jpg
33,eclectic,Everett Shinn,UNTITLED (EVENING ELEGANCE),Watercolor crayon and pencil on paperboard,"$4,000 - $6,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959234554308.jpg
34,eclectic,Rob Pruitt,SUICIDE PAINTING XXX,Acrylic on linen,"$30,000 - $40,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959234902568.jpg
35,eclectic,Arthur Ernst Becher,UNTITLED (VALIANT KNIGHT),Oil on canvas,"$3,000 - $5,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959236138124.jpg
36,eclectic,Emil Carlsen,STILL LIFE WITH LOBSTER POT AND FISH,Oil on canvas,"$4,000 - $6,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959236396449.jpg
37,eclectic,John Frederick Peto,FORGOTTEN FRIENDS: CANDLESTICK AND BOOKS ON TABLE,Oil on canvas,"$15,000 - $25,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959236616394.jpg
38,eclectic,André Derain,"PICHET, VERRE ET COUPE DE FRUITS",Oil on canvas,"$7,000 - $9,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959236892509.jpg
39,eclectic,John O'brien Inman,VICTORIAN STILL LIFE,Oil on canvas,"$5,000 - $7,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959237466794.jpg
40,eclectic,Max Oppenheimer,STREICHQUARTETT (STRING QUARTET),Oil on canvas,"$40,000 - $60,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959238270632.jpg
41,eclectic,Henry Cornelius Balink,ZUNI WOMEN GRINDING CORN,Oil on canvas,"$5,000 - $7,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959238573743.jpg
42,eclectic,William Aiken Walker,COUPLE IN COTTON FIELD,Oil on board,"$4,000 - $6,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959238930487.jpg
43,eclectic,Gabriel Orozco,TOTAL PERCEPTION,C -Print,"$5,000 - $7,000",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959239222036.jpg
44,eclectic,Thomas Worthington Whittredge,"THE OLD HOMESTEAD, NEWPORT, RHODE ISLAND",Oil on canvas,"$60,000 - $80,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959239520535.jpg
45,eclectic,Alfred Thompson Bricher,A WOODLAND STREAM,Oil on canvas,"$2,000 - $3,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959239772222.jpg
46,eclectic,Joaquin Clausell,BOSQUE EN EL OTOÑO,Oil on canvas,"$50,000 - $70,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959240021813.jpg
47,eclectic,Richard Zimmermann,A MILL IN A MOUNTAINOUS WINTER LANDSCAPE,Oil on canvas,"$3,000 - $5,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959240278994.jpg
48,eclectic,Walter Emerson BAUM,ROAD TO THE RIVER,Oil on canvas,"$12,000 - $18,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959240524919.jpg
49,eclectic,Frederick Carl Frieseke,"OLIVE TREES, CAGNES",Oil on canvas,"$5,000 - $7,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959240759058.jpg
50,eclectic,Bruce Crane,GREY FIELDS,Oil on canvas,"$3,000 - $5,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961673967851.jpg
51,eclectic,Henry Roderick Newman,"ROSES, GRAPES AND OLIVES",Watercolor and pencil on paper,"$7,000 - $10,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961674269637.jpg
52,eclectic,Henry Roderick Newman,LERICI IN JUNE,Watercolor and pencil on paper,"$6,000 - $8,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961674495578.jpg
53,eclectic,Robert William Vonnoh,NEW ENGLAND VALLEY,Oil on canvas,"$8,000 - $12,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961674762769.jpg
54,eclectic,Gopal Ghose,UNTITLED (SET OF TWO LANDSCAPES),Watercolor on paper,"$1,500 - $2,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961675062894.jpg
55,eclectic,Ernesto Icaza,SIN TÍTULO (JINETE DE TORO) & SIN TÍTULO (LAZANDO UN CABALLO): A PAIR OF WORKS,Oil on board,"$10,000 - $15,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961681815729.jpg
56,eclectic,Olaf Wieghorst,RIDERS,Oil on canvas,"$7,000 - $10,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961682047606.jpg
57,eclectic,Olaf Wieghorst,MOVING THE CHUCK,Oil on canvas,"$20,000 - $30,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961682264692.jpg
58,eclectic,Hiroshi Sugimoto,MOUNTAIN LION (109),Gelatin Silver Print,"$6,000 - $9,000",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961682789373.jpg
59,eclectic,Sarah Perkins,PORTRAIT OF A BLONDE HAIRED YOUNG BOY IN A BLUE SUIT WITH WHITE RUFFLED COLLAR EMBRACING HIS PET DOG,Pastel on paper,"$8,000 - $12,000",Works on paper,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961683058048.jpg
60,eclectic,William Matthew Prior,BUST PORTRAIT OF A MAN WITH SIDEBURNS,Oil on artist board,"$3,000 - $5,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961683415394.jpg
61,eclectic,Philip Lorca Dicorcia,LONDON,Print chromogenic print,"$4,000 - $6,000",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961683703787.jpg
62,eclectic,Sarah Perkins,MAJOR ANDREW BILLINGS,Oil on canvas,"$5,000 - $8,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961687954127.jpg
63,eclectic,Philip Lorca Dicorcia,NEW YORK,Print chromogenic print,"$5,000 - $7,000",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961688236741.jpg
64,eclectic,Angela Strassheim,UNTITLED (BREAKING UP),Print chromogenic,"$2,500 - $3,500",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961688497625.jpg
65,eclectic,Cindy Sherman,UNTITLED,Print color coupler print mounted to board,"$10,000 - $15,000",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961688803979.jpg
66,eclectic,Leslie Emery,POBRECITA,Oil on Masonite,"$1,000 - $1,500",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961689053291.jpg
67,eclectic,Oleg Tselkov,MEAL,Oil on canvas,"$60,000 - $80,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961691012869.jpg
68,eclectic,Oleg Tselkov,MEAL,Oil on canvas,"$60,000 - $80,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961689281805.jpg
69,eclectic,Martin Maloney,COMMUNITY ASSOCIATION,Oil on canvas,"$5,000 - $7,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961691251347.jpg
70,eclectic,Gordon Onslow Ford,SOWING AND REAPING,Acrylic on paper mounted on canvas,"$10,000 - $15,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961691559230.jpg
71,eclectic,Terry Winters,MODELS FOR SYNTHETIC PICTURES (SOJKA 97-108),Etching and aquatints printed in colors,"$18,000 - $24,000",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961693252305.jpg
72,eclectic,Manabu Mabe,UNTITLED,Oil on canvas,"$5,000 - $7,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961693482740.jpg
73,eclectic,Hilla Rebay,PINK DREAM,Watercolor and collage on paper,"$2,000 - $3,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961693744612.jpg
74,eclectic,George Byron Browne,STILL LIFE,Oil on canvas,"$7,000 - $10,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961696488597.jpg
75,eclectic,Manabu Mabe,HORSES,Oil on canvas,"$5,000 - $7,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961696785886.jpg
76,eclectic,Jon Pestoni,BEAK,Oil on canvas,"$4,000 - $6,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961697032619.jpg
77,eclectic,MARK BARROW,TWT,Acrylic on linen,"$3,000 - $5,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961697473509.jpg
78,eclectic,LUCIAN FREUD,PORTRAIT HEAD (FIGURA 82),Etching on Somerset wove paper,"$8,000 - $12,000",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961698135244.jpg
79,eclectic,Steve Mccurry,"BOY IN MID-FLIGHT, JODHPUR, INDIA",C -Print c-type print on Fuji Crystal Archival Paper,"$6,000 - $12,000",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961698582404.jpg
80,eclectic,Wayne Gonzales,UNTITLED,Acrylic on canvas,"$3,000 - $5,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961698816306.jpg
81,eclectic,Doug Aitken,HEIGHTENED,"Print Chromogenic print, flush-mounted to aluminum","$4,000 - $6,000",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961699161886.jpg
82,eclectic,Lunar Orbiter,"CRATER COPERNICUS AND TIMOCHARIS IN THE MARE IMBRIUM, TAKEN BETWEEN 11-26 MAY, 1967.",Gelatin Silver Print,"$1,400 - $2,400",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961699517366.jpg
83,eclectic,Jorge Macchi,LA CIUDAD LENTA,Paper,"$6,000 - $8,000",Works on paper,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961701631412.jpg
84,eclectic,Lunar Orbiter,"PRINZ CRATER IN THE OCEANUS PROCELLARUM, WITH THE RIMAE PRINZ EXTENDING TO THE RIGHT, TAKEN 06-18 AUGUST, 1967.",Gelatin Silver Print,"$1,000 - $1,500",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961699750315.jpg
85,eclectic,Lunar Orbiter,"""THE PICTURE OF THE CENTURY"" — OBLIQUE VIEW INTO THE HEART OF CRATER COPERNICUS, 24 NOVEMBER, 1966.",Gelatin Silver Print,"$1,400 - $2,400",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961699924605.jpg
86,eclectic,Lunar Orbiter,"CRATER SCHICKARD AND ENVIRONS, INCLUDING CRATERS PHOCYCLIDES, NASMYTH, WARGENTIN, LACROIX, AND BYRGIUS, TAKEN BETWEEN 11-26 MAY,",Gelatin Silver Print,"$1,400 - $2,400",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961700115669.jpg
87,eclectic,Lunar Orbiter,"NEARSIDE OF THE MOON, WITH DRAMATIC VIEWS OF THE MARE ORIENTALE, GRAMALDI CRATER, AND THE OCEANUS PROCELLARUM, TAKEN 11-26 MAY,",Gelatin Silver Print,"$1,200 - $1,700",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961701083640.jpg
88,eclectic,Lunar Orbiter,"NEARSIDE OF THE MOON WITH CRATER COPERNICUS IN THE OCEANUS PROCELLARUM, THE ""SEETHING BAY"" (SINUS AESTUUM), AND VARIOUS LUNAR SE",Gelatin Silver Print,"$1,200 - $1,700",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15961701255839.jpg
89,journey-through-france-a-private-collection-of-post-impressionist-paintings,Maximilien Luce,"BESSY-SUR-CURE, PAYSANNES GARDANT UN TROUPEAU DE VACHES",Oil on canvas,"$25,000 - $35,000",Paintings,Sotheby's | New York,,,"Apr 22, 2020",https://cdn.bidtoart.com/artImage/202007/15959189435117.jpg
90,journey-through-france-a-private-collection-of-post-impressionist-paintings,Pierre Eugène Montézin,ANIMAUX À L'OMBRE DU VIEUX SAULE,Oil on paper mounted on canvas,"$10,000 - $15,000",Paintings,Sotheby's | New York,,,"Apr 22, 2020",https://cdn.bidtoart.com/artImage/202007/15959189728676.jpg
91,journey-through-france-a-private-collection-of-post-impressionist-paintings,Francis Picabia,EFFET D'AUTOMNE DANS L'YVONNE,Oil on canvas,"$60,000 - $80,000",Paintings,Sotheby's | New York,1907,,"Apr 22, 2020",https://cdn.bidtoart.com/artImage/202007/15959190010127.jpg
92,journey-through-france-a-private-collection-of-post-impressionist-paintings,Maximilien Luce,LA CATHÉDRALE DE GISORS VUE DU FOSSÉ AUX TANNEURS,Oil on canvas,"$40,000 - $60,000",Paintings,Sotheby's | New York,1897,,"Apr 22, 2020",https://cdn.bidtoart.com/artImage/202007/15959190293437.jpg
93,journey-through-france-a-private-collection-of-post-impressionist-paintings,Gustave Loiseau,PAYSAGE,Oil on canvas,"$50,000 - $70,000",Paintings,Sotheby's | New York,,,"Apr 22, 2020",https://cdn.bidtoart.com/artImage/202007/15959190562895.jpg
94,journey-through-france-a-private-collection-of-post-impressionist-paintings,Albert Marquet,"PORQUEROLLES, LE JARDIN",Oil on canvas,"$80,000 - $120,000",Paintings,Sotheby's | New York,1939,,"Apr 22, 2020",https://cdn.bidtoart.com/artImage/202007/15959190850748.jpg
95,journey-through-france-a-private-collection-of-post-impressionist-paintings,Albert Marquet,TRIEL-SUR-SEINE,Oil on canvas,"$50,000 - $70,000",Paintings,Sotheby's | New York,,,"Apr 22, 2020",https://cdn.bidtoart.com/artImage/202007/15959191522189.jpg
96,journey-through-france-a-private-collection-of-post-impressionist-paintings,Maximilien Luce,VUE DE MÉRÉVILLE,Oil on board,"$12,000 - $18,000",Paintings,Sotheby's | New York,,,"Apr 22, 2020",https://cdn.bidtoart.com/artImage/202007/15959191778764.jpg
97,journey-through-france-a-private-collection-of-post-impressionist-paintings,Henri Lebasque,"LA PLAINE DU CROZON, FINISTÈRE",Oil on canvas,"$50,000 - $70,000",Paintings,Sotheby's | New York,,,"Apr 22, 2020",https://cdn.bidtoart.com/artImage/202007/15959192203555.jpg
98,journey-through-france-a-private-collection-of-post-impressionist-paintings,Maximilien Luce,PAYSAGE À KERMOUSTER,Oil on paper mounted on canvas,"$12,000 - $18,000",Paintings,Sotheby's | New York,1939,,"Apr 22, 2020",https://cdn.bidtoart.com/artImage/202007/15959192829337.jpg
99,journey-through-france-a-private-collection-of-post-impressionist-paintings,Maximilien Luce,PAYSAGE AUX ENVIRONS DE GENTILLY,Oil on board laid down on panel,"$15,000 - $20,000",Paintings,Sotheby's | New York,ca 1890,,"Apr 22, 2020",https://cdn.bidtoart.com/artImage/202007/15959193139154.jpg
100,journey-through-france-a-private-collection-of-post-impressionist-paintings,Jean Dufy,CHASSE À COURRE,Oil on canvas,"$30,000 - $50,000",Paintings,Sotheby's | New York,ca 1956-57,,"Apr 22, 2020",https://cdn.bidtoart.com/artImage/202007/15959193515827.jpg
101,journey-through-france-a-private-collection-of-post-impressionist-paintings,Maurice Utrillo,"ENVIRONS DE LA FERTÉ-MILON, RUE DU FOUR, MARIZY-SAINTE-GENEVIÈVE (AISNE)",Gouache on card,"$25,000 - $35,000",Paintings,Sotheby's | New York,,,"Apr 22, 2020",https://cdn.bidtoart.com/artImage/202007/15959193846861.jpg
102,european-paintings-drawings-sculpture,Anton Mauve,SHEEP ON THE DUNES,Oil on panel,"$6,000 - $8,000",Paintings,Sotheby's | New York,,,"Apr 09, 2020",https://cdn.bidtoart.com/artImage/202007/15954740718456.jpg
103,european-paintings-drawings-sculpture,Narcisse Virgile Diaz de la Pena,CHEMIN MARÉCAGEUX,Oil on panel,"$7,000 - $10,000",Paintings,Sotheby's | New York,,,"Apr 09, 2020",https://cdn.bidtoart.com/artImage/202007/15954741020140.jpg
104,european-paintings-drawings-sculpture,Jean Ferdinand Monchablon,"LA SAÔNE À CHÂTILLON, LE SOIR (VOSGES)",Oil on panel,"$8,000 - $12,000",Paintings,Sotheby's | New York,,,"Apr 09, 2020",https://cdn.bidtoart.com/artImage/202007/15954741279862.jpg
105,european-paintings-drawings-sculpture,Henry Jules Jean Geoffroy,FLEURS POUR MAMAN,Oil on canvas,"$18,000 - $25,000",Paintings,Sotheby's | New York,,,"Apr 09, 2020",https://cdn.bidtoart.com/artImage/202007/15954742631763.jpg
106,european-paintings-drawings-sculpture,Julie Delance Feurgard,THE PIANO LESSON,Oil on canvas,"$6,000 - $8,000",Paintings,Sotheby's | New York,,,"Apr 09, 2020",https://cdn.bidtoart.com/artImage/202007/15954742922053.jpg
107,european-paintings-drawings-sculpture,Rosa Bonheur,IN THE MEADOW,Oil on canvas,"$6,000 - $9,000",Paintings,Sotheby's | New York,,,"Apr 09, 2020",https://cdn.bidtoart.com/artImage/202007/15954743197609.jpg
108,european-paintings-drawings-sculpture,Constant Artz,A WINDMILL AND A VILLAGE ON THE EDGE OF A SNOWY MEADOW,Oil on canvas,"$5,000 - $7,000",Paintings,Sotheby's | New York,,,"Apr 09, 2020",https://cdn.bidtoart.com/artImage/202007/15954743514654.jpg
109,european-paintings-drawings-sculpture,Lucien Marcelin Gautier,THREE VIEWS OF NOTRE DAME,Etching on leather,"$8,000 - $12,000",Prints & Graphic Art,Sotheby's | New York,,,"Apr 09, 2020",https://cdn.bidtoart.com/artImage/202007/15954747810402.jpg
